modelo,horizonte,passos,mae,rmse,r2,mape,smape,acuracia
ExtraTrees,12_horas,12,55.25841509295737,81.37664129186292,0.8088849596518948,4.638489591446708,4.524840004856016,80.88849596518948
Ensemble,12_horas,12,56.10335837907208,83.49081177200522,0.7988256013404376,4.736739984347895,4.597998826839033,79.88256013404376
RandomForest,12_horas,12,58.280548946886675,88.64917695012493,0.7731991070468844,4.928898300948392,4.773032112888261,77.31991070468844
HistGradientBoosting,12_horas,12,59.62722208108509,90.259427437426,0.7648849157705535,5.056693592893335,4.885041106433271,76.48849157705536
Ensemble,1_hora,1,17.974101323210146,25.206354005091537,0.9816582226951526,1.4972929298026239,1.49504455686492,98.16582226951526
HistGradientBoosting,1_hora,1,18.158013380909168,25.372902451468796,0.9814150390409913,1.5088421078499474,1.5066842531266227,98.14150390409912
ExtraTrees,1_hora,1,19.23620041044597,27.294217744620614,0.9784938506553664,1.6149464899838162,1.6089651108061682,97.84938506553664
RandomForest,1_hora,1,19.361740681484722,27.33119959456778,0.9784355323690574,1.604342725672145,1.6043588449186024,97.84355323690575
RandomForest,24_horas,24,52.04852244871298,70.82965059619731,0.8552442923637377,4.282283886343784,4.27194383460708,85.52442923637376
ExtraTrees,24_horas,24,51.995325604793436,71.03890254715414,0.8543877257296593,4.2757073612516265,4.250400361326783,85.43877257296593
Ensemble,24_horas,24,52.24854615856875,71.22997854133588,0.8536033547056732,4.302236056151072,4.2715295038327845,85.36033547056732
HistGradientBoosting,24_horas,24,57.271257040262846,80.38428917860882,0.8135562414493545,4.7233616238370155,4.658345905468723,81.35562414493545
HistGradientBoosting,6_horas,6,52.261629157060774,80.5446890647155,0.8127347001655265,4.423647239134723,4.315501538223019,81.27347001655265
Ensemble,6_horas,6,51.99075158736477,80.66798805569694,0.8121609243958241,4.401031582615197,4.285300890098646,81.21609243958241
ExtraTrees,6_horas,6,53.120552982148794,82.16758090851255,0.805112271421382,4.499338394147026,4.383360511991042,80.5112271421382
RandomForest,6_horas,6,53.481017301372056,82.87073096350908,0.8017624914661297,4.517530484133677,4.39607509692246,80.17624914661296
