modelo,horizonte,passos,mae,rmse,r2,mape,smape,acuracia
ExtraTrees,12_horas,12,55.38761757090808,80.90727114600732,0.8109993836402987,4.662051347964876,4.544012460057307,88.2189435080325
Ensemble,12_horas,12,55.60718567865379,82.00662516740317,0.8058282731961323,4.693224219510087,4.559816269023027,87.94480155005158
RandomForest,12_horas,12,56.320744108807595,83.09742835375494,0.800628406055337,4.749518161186455,4.620803128044417,87.65666122217362
HistGradientBoosting,12_horas,12,59.30912961219568,88.35747154998614,0.7745892247645061,5.029074267407039,4.861147647956736,86.21492410452178
RandomForest,1_hora,1,28.343080939361244,39.34284703992315,0.9553024548403275,2.3589573371304295,2.353541330909181,96.58564407345116
Ensemble,1_hora,1,28.163664707982356,39.62350540420581,0.9546624663395901,2.357616050932344,2.343391627630175,96.55431529151332
ExtraTrees,1_hora,1,30.089116428258514,42.44223650976187,0.9479826018662886,2.5214357486678844,2.506599290519024,96.13841221898048
HistGradientBoosting,1_hora,1,30.15831614328146,43.74022879185813,0.9447522998655028,2.5360940090578095,2.506746840514116,95.96956798874623
ExtraTrees,24_horas,24,51.5753252439285,69.68490496117164,0.8597827375644477,4.233159477080709,4.214019309990938,90.87255713968203
Ensemble,24_horas,24,52.52220993034223,70.62723364374202,0.8559648624857914,4.322520609089237,4.292689629796708,90.63698281974496
RandomForest,24_horas,24,54.44162698679601,73.71100296055198,0.8431123706171124,4.493713925865162,4.45452951192865,89.90876156792304
HistGradientBoosting,24_horas,24,55.71775982279589,74.8455881605385,0.8382454630399772,4.593789017091613,4.554579093520596,89.61537864345306
Ensemble,6_horas,6,53.2282887149316,81.82982758114953,0.8066441911723938,4.5066776060371625,4.403999601096839,88.07887075560112
HistGradientBoosting,6_horas,6,53.201367916218956,81.859552002102,0.8065036939115426,4.509970803781777,4.413571925645169,88.07019929368624
RandomForest,6_horas,6,54.238901929929554,82.8488864535623,0.8017983330682669,4.579704805922718,4.468955903676538,87.80006425045198
ExtraTrees,6_horas,6,55.10687753215043,83.87347644026347,0.7968657101604799,4.675100589858257,4.5728903382504305,87.50573521309487
